,SEVERITYCODE,ADDRTYPE,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,JUNCTIONTYPE,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SPEEDING,ST_COLDESC,CROSSWALKKEY,HITPARKEDCAR,HOUROFDAY
0,2,3,1,2,0,0,2,2,0,0,5,9,6,0,0,5,0,0,14
1,1,2,10,2,0,0,2,5,0,0,7,9,3,0,0,17,0,0,18
2,1,2,6,4,0,0,3,5,0,0,5,1,6,0,0,28,0,0,10
3,1,2,5,3,0,0,3,5,0,0,2,1,6,0,0,15,0,0,9
4,2,3,1,2,0,0,2,2,0,0,7,9,6,0,0,5,0,0,8
5,1,3,1,2,0,0,2,2,0,0,2,1,6,0,0,5,0,0,17
6,1,3,1,2,0,0,2,2,0,0,7,9,6,0,0,5,0,0,0
7,2,3,2,3,0,1,1,2,0,0,2,1,6,0,0,53,0,0,17
8,1,2,6,2,0,0,2,5,0,0,2,1,6,0,0,28,0,0,13
9,2,3,1,2,0,0,2,2,0,0,2,1,6,0,0,5,0,0,15
